"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","key_press","tap_times"
"11760","<p style=""font-size:30px;"">Hi!</p><br><p>In this experiment, you will hear sounds with different speeds. </p><p>Your task is to listen to the pair of sounds, and then tap on the T key</p><p>with a speed that you think is the midway between these two speeds.<br><br><br></p>","0","html-button-response","0","11761","0.0-0.0","",""
"null","500_ms.wav","","audio-keyboard-response","1","15840","0.0-1.0-0.0","null",""
"null","400_ms.wav","","audio-keyboard-response","2","20168","0.0-1.0-1.0","null",""
"","silence.wav","","audio-keyboard-taps","3","32721","0.0-1.0-2.0","null","2865,3233,3611,4066,4479,4870,5314,5721,6136,6528,6949,7367,7755,8179,8580,8980,9421,9808,10246,10614,11041"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","4","34023","0.0-1.0-3.0","null",""
"null","700_ms.wav","","audio-keyboard-response","5","39436","0.0-1.0-0.1","null",""
"null","500_ms.wav","","audio-keyboard-response","6","44461","0.0-1.0-1.1","null",""
"","silence.wav","","audio-keyboard-taps","7","56697","0.0-1.0-2.1","null","235,734,1289,1785,2334,2891,3480,4026,4551,5094,5648,6159,6661,7163,7677,8197,8702,9178,9715,10208,10733"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","8","57998","0.0-1.0-3.1","null",""
"null","600_ms.wav","","audio-keyboard-response","9","62720","0.0-1.0-0.2","null",""
"null","400_ms.wav","","audio-keyboard-response","10","67048","0.0-1.0-1.2","null",""
"","silence.wav","","audio-keyboard-taps","11","79785","0.0-1.0-2.2","null","2476,2949,3381,3811,4255,4690,5146,5608,6069,6507,6931,7358,7814,8255,8702,9134,9543,9967,10417,10818,11241"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","12","81086","0.0-1.0-3.2","null",""
"null","800_ms.wav","","audio-keyboard-response","13","87195","0.0-1.0-0.3","null",""
"null","700_ms.wav","","audio-keyboard-response","14","93626","0.0-1.0-1.3","null",""
"","silence.wav","","audio-keyboard-taps","15","109369","0.0-1.0-2.3","null","665,1361,2040,2696,3416,4110,4807,5518,6168,6896,7567,8234,8914,9514,10234,10884,11540,12243,12910,13598,14240"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","16","110670","0.0-1.0-3.3","null",""
"null","700_ms.wav","","audio-keyboard-response","17","116090","0.0-1.0-0.4","null",""
"null","400_ms.wav","","audio-keyboard-response","18","120418","0.0-1.0-1.4","null",""
"","silence.wav","","audio-keyboard-taps","19","135745","0.0-1.0-2.4","null","4328,4772,5294,5735,6237,6696,7192,7651,8173,8623,9105,9572,10054,10516,10983,11476,11915,12391,12875,13351,13822"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","20","137046","0.0-1.0-3.4","null",""
"null","600_ms.wav","","audio-keyboard-response","21","141770","0.0-1.0-0.5","null",""
"null","700_ms.wav","","audio-keyboard-response","22","148197","0.0-1.0-1.5","null",""
"","silence.wav","","audio-keyboard-taps","23","163809","0.0-1.0-2.5","null","4316,4778,5251,5776,6235,6731,7207,7738,8185,8699,9198,9680,10196,10655,11172,11685,12185,12652,13125,13656,14112"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","24","165109","0.0-1.0-3.5","null",""
"null","600_ms.wav","","audio-keyboard-response","25","169827","0.0-1.0-0.6","null",""
"null","800_ms.wav","","audio-keyboard-response","26","176953","0.0-1.0-1.6","null",""
"","silence.wav","","audio-keyboard-taps","27","191737","0.0-1.0-2.6","null","3602,4072,4551,5050,5494,6026,6525,7012,7491,7988,8481,8937,9398,9883,10420,10890,11340,11819,12307,12823,13288"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","28","193038","0.0-1.0-3.6","null",""
"null","700_ms.wav","","audio-keyboard-response","29","198468","0.0-1.0-0.7","null",""
"null","800_ms.wav","","audio-keyboard-response","30","205595","0.0-1.0-1.7","null",""
"","silence.wav","","audio-keyboard-taps","31","219225","0.0-1.0-2.7","null","1216,1681,2249,2847,3422,3971,4516,5068,5625,6182,6708,7213,7805,8388,8911,9439,9985,10498,11047,11607,12121"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","32","220526","0.0-1.0-3.7","null",""
"null","500_ms.wav","","audio-keyboard-response","33","224552","0.0-1.0-0.8","null",""
"null","600_ms.wav","","audio-keyboard-response","34","230280","0.0-1.0-1.8","null",""
"","silence.wav","","audio-keyboard-taps","35","245881","0.0-1.0-2.8","null","3965,4464,4911,5480,6040,6519,6998,7544,8054,8571,9047,9572,10063,10588,11096,11604,12080,12606,13084,13572,14106"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","36","247182","0.0-1.0-3.8","null",""
"null","400_ms.wav","","audio-keyboard-response","37","250509","0.0-1.0-0.9","null",""
"null","700_ms.wav","","audio-keyboard-response","38","256945","0.0-1.0-1.9","null",""
"","silence.wav","","audio-keyboard-taps","39","272937","0.0-1.0-2.9","null","4525,4963,5494,6043,6502,6986,7523,8017,8528,9004,9465,9985,10472,10966,11450,11952,12411,12931,13488,13976,14498"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","40","274238","0.0-1.0-3.9","null",""
"null","400_ms.wav","","audio-keyboard-response","41","277550","0.0-1.0-0.10","null",""
"null","800_ms.wav","","audio-keyboard-response","42","284666","0.0-1.0-1.10","null",""
"","silence.wav","","audio-keyboard-taps","43","299520","0.0-1.0-2.10","null","3590,4043,4467,4966,5425,5912,6388,6905,7358,7869,8374,8850,9366,9848,10347,10855,11346,11860,12347,12864,13351"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","44","300821","0.0-1.0-3.10","null",""
"null","800_ms.wav","","audio-keyboard-response","45","306939","0.0-1.0-0.11","null",""
"null","500_ms.wav","","audio-keyboard-response","46","311960","0.0-1.0-1.11","null",""
"","silence.wav","","audio-keyboard-taps","47","330352","0.0-1.0-2.11","null","6182,6728,7207,7805,8281,8838,9334,9868,10376,10948,11442,11979,12516,13087,13613,14170,14713,15267,15804,16350,16893"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","48","331653","0.0-1.0-3.11","null",""
"null","400_ms.wav","","audio-keyboard-response","49","334983","0.0-1.0-0.12","null",""
"null","600_ms.wav","","audio-keyboard-response","50","340710","0.0-1.0-1.12","null",""
"","silence.wav","","audio-keyboard-taps","51","357088","0.0-1.0-2.12","null","4789,5210,5727,6237,6722,7242,7695,8243,8728,9259,9758,10263,10765,11276,11793,12307,12826,13343,13857,14379,14881"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","52","358388","0.0-1.0-3.12","null",""
"null","800_ms.wav","","audio-keyboard-response","53","364516","0.0-1.0-0.13","null",""
"null","600_ms.wav","","audio-keyboard-response","54","370234","0.0-1.0-1.13","null",""
"","silence.wav","","audio-keyboard-taps","55","384928","0.0-1.0-2.13","null","2206,2740,3297,3907,4470,4957,5538,6069,6612,7158,7663,8234,8780,9317,9834,10391,10940,11508,12074,12643,13201"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","56","386229","0.0-1.0-3.13","null",""
"null","400_ms.wav","","audio-keyboard-response","57","389558","0.0-1.0-0.14","null",""
"null","500_ms.wav","","audio-keyboard-response","58","394588","0.0-1.0-1.14","null",""
"","silence.wav","","audio-keyboard-taps","59","410096","0.0-1.0-2.14","null","4548,5036,5509,6020,6478,6943,7430,7880,8350,8795,9282,9735,10237,10684,11160,11593,12095,12565,13032,13517,14002"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","60","411396","0.0-1.0-3.14","null",""
"null","500_ms.wav","","audio-keyboard-response","61","415432","0.0-1.0-0.15","null",""
"null","800_ms.wav","","audio-keyboard-response","62","422559","0.0-1.0-1.15","null",""
"","silence.wav","","audio-keyboard-taps","63","437808","0.0-1.0-2.15","null","4632,5068,5471,5970,6417,6801,7279,7767,8211,8707,9146,9619,10040,10484,10980,11418,11894,12330,12806,13253,13743"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","64","439109","0.0-1.0-3.15","null",""
"null","500_ms.wav","","audio-keyboard-response","65","443130","0.0-1.0-0.16","null",""
"null","700_ms.wav","","audio-keyboard-response","66","449560","0.0-1.0-1.16","null",""
"","silence.wav","","audio-keyboard-taps","67","466583","0.0-1.0-2.16","null","4540,5097,5625,6162,6728,7323,7874,8397,8954,9503,10069,10614,11180,11741,12269,12867,13401,13923,14449,14974,15523"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","68","467885","0.0-1.0-3.16","null",""
"null","700_ms.wav","","audio-keyboard-response","69","473316","0.0-1.0-0.17","null",""
"null","600_ms.wav","","audio-keyboard-response","70","479047","0.0-1.0-1.17","null",""
"","silence.wav","","audio-keyboard-taps","71","496656","0.0-1.0-2.17","null","3968,4609,5166,5776,6374,7001,7642,8226,8899,9439,10046,10603,11218,11833,12463,13076,13706,14295,14936,15525,16097"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","72","497957","0.0-1.0-3.17","null",""
"null","800_ms.wav","","audio-keyboard-response","73","504078","0.0-1.0-0.18","null",""
"null","400_ms.wav","","audio-keyboard-response","74","508408","0.0-1.0-1.18","null",""
"","silence.wav","","audio-keyboard-taps","75","523903","0.0-1.0-2.18","null","4232,4737,5233,5715,6217,6713,7169,7671,8173,8649,9163,9619,10106,10565,11061,11543,12034,12498,12986,13470,13990"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","76","525204","0.0-1.0-3.18","null",""
"null","600_ms.wav","","audio-keyboard-response","77","529933","0.0-1.0-0.19","null",""
"null","500_ms.wav","","audio-keyboard-response","78","534961","0.0-1.0-1.19","null",""
"","silence.wav","","audio-keyboard-taps","79","548247","0.0-1.0-2.19","null","1077,1602,2133,2627,3196,3709,4290,4807,5323,5901,6409,6940,7488,8043,8571,9114,9645,10165,10719,11256,11790"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","80","549547","0.0-1.0-3.19","null",""
"2932","<p style=""font-size:30px;"">Thank you!</p><p>You have completed the experiment.</p><p>Click &#39continue&#39 to close the experiment and proceed to Prolific.</p>","0","html-button-response","81","552980","0.0-2.0","",""
